ubicacion,lugar_especifico,fuente,rating,comentario,fecha_resena,comentario_limpio,n_palabras,es_spam,idioma,idioma_det,comentario_nlp,n_palabras_nlp
La Paz,,trip,,playas arena de playa tiene agua arena bastante agua arena agua muchos pequeños muchos agua nadar playa bastante bastante sillas palapas comida sillas de playa palapas limpiar muchos lugares playa conseguir,,playas arena de playa tiene agua arena bastante agua arena agua muchos pequeños muchos agua nadar playa bastante bastante sillas palapas comida sillas de playa palapas limpiar muchos lugares playa conseguir,31,False,es,es,playa arena playa agua arena agua arena agua pequeño agua nadar playa silla palapas comida silla playa palapas limpiar playa conseguir,21
La Paz,,trip,,playa hermosas sillas palapas conseguir uno tiene nadar playa pública playa pública playa,,playa hermosas sillas palapas conseguir uno tiene nadar playa pública playa pública playa,13,False,otro,es,playa hermoso silla palapas conseguir nadar playa público playa público playa,11
La Paz,,trip,,arena agua se limpió lugar hermoso lugares agradables lugares conseguir,,arena agua se limpió lugar hermoso lugares agradables lugares conseguir,10,False,otro,es,arena agua limpiar hermoso agradable conseguir,6
La Paz,,trip,,hermosas playas playa pequeña mucha comida agua y agua agua uno agua uno,,hermosas playas playa pequeña mucha comida agua y agua agua uno agua uno,13,False,otro,es,hermoso playa playa pequeño comida agua agua agua agua,9
La Paz,,trip,,playa publica palapas fin sillas publicas comida,,playa publica palapas fin sillas publicas comida,7,False,otro,es,playa publicar palapas fin silla publicar comida,7
La Paz,,trip,,playa lugar despejado,,playa lugar despejado,3,True,otro,otro,,0
La Paz,,trip,,colocar comida agua,,colocar comida agua,3,True,otro,otro,,0
La Paz,,trip,,playa comida pequeña playa pequeña playa,,playa comida pequeña playa pequeña playa,6,False,otro,es,playa comida pequeño playa pequeño playa,6
La Paz,,trip,,playa hermosas playas playa de agua buena comida,,playa hermosas playas playa de agua buena comida,8,False,es,es,playa hermoso playa playa agua bueno comida,7
La Paz,,trip,,muchas playas una,,muchas playas una,3,True,es,otro,,0
La Paz,,trip,,agradable playa pública comida palapas lugar de playa conseguir playa lugar limpio,,agradable playa pública comida palapas lugar de playa conseguir playa lugar limpio,12,False,es,es,agradable playa público comida palapas playa conseguir playa limpio,9
La Paz,,trip,,hermosa playa palapas limpia publica playa bastante limpia conseguir playa playa,,hermosa playa palapas limpia publica playa bastante limpia conseguir playa playa,11,False,otro,otro,hermoso playa palapas limpia publicar playa limpia conseguir playa playa,10
La Paz,,trip,,final final fin bastante playa tengo playa nadar nadar agua bastante clara nadar playa lugares de playa agua playa limpia pequeña bonita tengo tengo,,final final fin bastante playa tengo playa nadar nadar agua bastante clara nadar playa lugares de playa agua playa limpia pequeña bonita tengo tengo,24,False,es,otro,final final fin playa tener playa nadar nadar agua clara nadar playa playa agua playa limpia pequeño bonito tener tener,20
La Paz,,trip,,place beautiful place,,place beautiful place,3,True,en,otro,,0
La Paz,,trip,,bonita playa playa agua,,bonita playa playa agua,4,True,otro,otro,,0
La Paz,,trip,,bonita playa playas de agua,,bonita playa playas de agua,5,False,es,otro,bonito playa playa agua,4
La Paz,,trip,,beautiful place palapas get,,beautiful place palapas get,4,True,en,otro,,0
La Paz,,trip,,playa bonitas sillas limpias,,playa bonitas sillas limpias,4,True,otro,otro,,0
La Paz,,trip,,swim sand palapas,,swim sand palapas,3,True,otro,otro,,0
La Paz,,trip,,agua clara,,agua clara,2,True,otro,otro,,0
La Paz,,trip,,hermosas playas limpias playas claras comida,,hermosas playas limpias playas claras comida,6,False,otro,es,hermoso playa limpia playa clara comida,6
La Paz,,trip,,pequeño y bonito lugar de playa,,pequeño y bonito lugar de playa,6,False,es,es,pequeño bonito playa,3
La Paz,,trip,,abrir pequeñas exhibiciones visita a buena hora quiero aprender experiencia,,abrir pequeñas exhibiciones visita a buena hora quiero aprender experiencia,10,False,otro,es,abrir pequeño exhibición visita bueno hora querer aprender experiencia,9
La Paz,,trip,,buen museo aprender historia nos disfrutó comprar abierto todavía vale la pena,,buen museo aprender historia nos disfrutó comprar abierto todavía vale la pena,12,False,es,es,bueno museo aprender historia disfrutar comprar abrir vale pena,9
La Paz,,trip,,Los museos podrían exhibir exhibiciones en el museo. Aplicación de señales interesantes. También dos ayudarían.,,los museos podrían exhibir exhibiciones en el museo aplicación de señales interesantes también dos ayudarían,15,False,es,es,museo poder exhibir exhibición museo aplicación señalar interesante ayudar,9
La Paz,,trip,,museo visitado recorrido parcial museo mucha historia área exhibiciones muy bien hecha información interesante nos ayuda a conseguir que la gente quiera ver todo lo que vale la pena visitar,,museo visitado recorrido parcial museo mucha historia área exhibiciones muy bien hecha información interesante nos ayuda a conseguir que la gente quiera ver todo lo que vale la pena visitar,30,False,es,es,museo visitar recorrido parcial museo historia área exhibición hacer información interesante ayuda conseguir gente querer ver vale pena visitar,19
La Paz,,trip,,museo museo gente idioma mucho museos aplicación museo manera aprender,,museo museo gente idioma mucho museos aplicación museo manera aprender,10,False,otro,es,museo museo gente idioma museo aplicación museo aprender,8
La Paz,,trip,,museo historia historia también poca vida visitar aplicación leer señalización exhibe todo,,museo historia historia también poca vida visitar aplicación leer señalización exhibe todo,12,False,es,es,museo historia historia vida visitar aplicación leer señalización exhibir,9
La Paz,,trip,,museo exhibe información vida temprana cueva pequeña gratis,,museo exhibe información vida temprana cueva pequeña gratis,8,False,otro,es,museo exhibir información vida temprano cueva pequeño gratis,8
La Paz,,trip,,"grandes artefactos, la gente incluso",,grandes artefactos la gente incluso,5,False,es,es,grande artefacto gente incluso,4
